titre_original,durée,date,score,nbr_votants,desciption,genre,acteurs
Memento,1h 53m,2000,8.4,1.3M,A man with short-term memory loss attempts to track down his wife's murderer.,"Mystery,Thriller","Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano"
Apocalypse Now,2h 27m,1979,8.5,679K,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Drama,Mystery,War","John Milius,Francis Ford Coppola,Michael Herr,Martin Sheen,Marlon Brando,Robert Duvall,John Milius,Francis Ford Coppola,Michael Herr,Martin Sheen,Marlon Brando,Robert Duvall"
City Lights,1h 27m,1931,8.5,188K,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Comedy,Drama,Romance","Charles Chaplin,Virginia Cherrill,Florence Lee,Charles Chaplin,Virginia Cherrill,Florence Lee"
Alien,1h 57m,1979,8.5,898K,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,"Horror,Sci-Fi","Sigourney Weaver,Tom Skerritt,John Hurt,Sigourney Weaver,Tom Skerritt,John Hurt"
Rear Window,1h 52m,1954,8.5,500K,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","Mystery,Thriller","James Stewart,Grace Kelly,Wendell Corey,James Stewart,Grace Kelly,Wendell Corey"
Cinema Paradiso,2h 35m,1988,8.5,267K,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Drama,Romance","Philippe Noiret,Enzo Cannavale,Antonella Attili,Philippe Noiret,Enzo Cannavale,Antonella Attili"
Once Upon a Time in the West,2h 45m,1968,8.5,336K,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Western,"Sergio Donati,Sergio Leone,Dario Argento,Henry Fonda,Charles Bronson,Claudia Cardinale,Sergio Donati,Sergio Leone,Dario Argento,Henry Fonda,Charles Bronson,Claudia Cardinale"
Modern Times,1h 27m,1936,8.5,247K,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Comedy,Drama,Romance","Charles Chaplin,Paulette Goddard,Henry Bergman,Charles Chaplin,Paulette Goddard,Henry Bergman"
The Intouchables,1h 52m,2011,8.5,876K,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Biography,Comedy,Drama","François Cluzet,Omar Sy,Anne Le Ny,François Cluzet,Omar Sy,Anne Le Ny"
Harakiri,2h 13m,1962,8.6,60K,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","Action,Drama,Mystery","Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita"
Grave of the Fireflies,1h 29m,1988,8.5,285K,A young boy and his little sister struggle to survive in Japan during World War II.,"Animation,Drama,War","Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi"
Casablanca,1h 42m,1942,8.5,581K,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"Drama,Romance,War","Julius J. Epstein,Philip G. Epstein,Howard Koch,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Julius J. Epstein,Philip G. Epstein,Howard Koch,Humphrey Bogart,Ingrid Bergman,Paul Henreid"
The Usual Suspects,1h 46m,1995,8.5,1.1M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Crime,Drama,Mystery","Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Kevin Spacey,Gabriel Byrne,Chazz Palminteri"
The Prestige,2h 10m,2006,8.5,1.4M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Drama,Mystery,Sci-Fi","Christian Bale,Hugh Jackman,Scarlett Johansson,Christian Bale,Hugh Jackman,Scarlett Johansson"
Whiplash,1h 46m,2014,8.5,895K,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Drama,Music","Miles Teller,J.K. Simmons,Melissa Benoist,Miles Teller,J.K. Simmons,Melissa Benoist"
The Departed,2h 31m,2006,8.5,1.3M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Crime,Drama,Thriller","Leonardo DiCaprio,Matt Damon,Jack Nicholson,Leonardo DiCaprio,Matt Damon,Jack Nicholson"
American History X,1h 59m,1998,8.5,1.1M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,"Crime,Drama","Edward Norton,Edward Furlong,Beverly D'Angelo,Edward Norton,Edward Furlong,Beverly D'Angelo"
Gladiator,2h 35m,2000,8.5,1.5M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"Action,Adventure,Drama","Russell Crowe,Joaquin Phoenix,Connie Nielsen,Russell Crowe,Joaquin Phoenix,Connie Nielsen"
The Lion King,1h 28m,1994,8.5,1.1M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Animation,Adventure,Drama","Irene Mecchi,Jonathan Roberts,Linda Woolverton,Matthew Broderick,Jeremy Irons,James Earl Jones,Irene Mecchi,Jonathan Roberts,Linda Woolverton,Matthew Broderick,Jeremy Irons,James Earl Jones"
Léon: The Professional,1h 50m,1994,8.5,1.2M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","Action,Crime,Drama","Jean Reno,Gary Oldman,Natalie Portman,Jean Reno,Gary Oldman,Natalie Portman"
Parasite,2h 12m,2019,8.5,843K,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"Drama,Thriller","Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong"
Psycho,1h 49m,1960,8.5,684K,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.","Horror,Mystery,Thriller","Anthony Perkins,Janet Leigh,Vera Miles,Anthony Perkins,Janet Leigh,Vera Miles"
The Pianist,2h 30m,2002,8.5,850K,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Biography,Drama,Music","Adrien Brody,Thomas Kretschmann,Frank Finlay,Adrien Brody,Thomas Kretschmann,Frank Finlay"
Star Wars: Episode IV - A New Hope,2h 1m,1977,8.6,1.4M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","Action,Adventure,Fantasy","Mark Hamill,Harrison Ford,Carrie Fisher,Mark Hamill,Harrison Ford,Carrie Fisher"
The Green Mile,3h 9m,1999,8.6,1.3M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","Crime,Drama,Fantasy","Tom Hanks,Michael Clarke Duncan,David Morse,Tom Hanks,Michael Clarke Duncan,David Morse"
Life Is Beautiful,1h 56m,1997,8.6,707K,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","Comedy,Drama,Romance","Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini"
Interstellar,2h 49m,2014,8.6,1.9M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Adventure,Drama,Sci-Fi","Matthew McConaughey,Anne Hathaway,Jessica Chastain,Matthew McConaughey,Anne Hathaway,Jessica Chastain"
City of God,2h 10m,2002,8.6,767K,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Crime,Drama","Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele"
Saving Private Ryan,2h 49m,1998,8.6,1.4M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Drama,War","Tom Hanks,Matt Damon,Tom Sizemore,Tom Hanks,Matt Damon,Tom Sizemore"
The Silence of the Lambs,1h 58m,1991,8.6,1.5M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Crime,Drama,Thriller","Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney"
Seven Samurai,3h 27m,1954,8.6,351K,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","Action,Drama","Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Toshirô Mifune,Takashi Shimura,Keiko Tsushima"
It's a Wonderful Life,2h 10m,1946,8.6,470K,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"Drama,Family,Fantasy","Frances Goodrich,Albert Hackett,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Frances Goodrich,Albert Hackett,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore"
Se7en,2h 7m,1995,8.6,1.7M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","Crime,Drama,Mystery","Morgan Freeman,Brad Pitt,Kevin Spacey,Morgan Freeman,Brad Pitt,Kevin Spacey"
One Flew Over the Cuckoo's Nest,2h 13m,1975,8.7,1M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",Drama,"Lawrence Hauben,Bo Goldman,Ken Kesey,Jack Nicholson,Louise Fletcher,Michael Berryman,Lawrence Hauben,Bo Goldman,Ken Kesey,Jack Nicholson,Louise Fletcher,Michael Berryman"
Goodfellas,2h 25m,1990,8.7,1.2M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","Biography,Crime,Drama","Robert De Niro,Ray Liotta,Joe Pesci,Robert De Niro,Ray Liotta,Joe Pesci"
The Matrix,2h 16m,1999,8.7,1.9M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action,Sci-Fi","Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss"
Star Wars: Episode V - The Empire Strikes Back,2h 4m,1980,8.7,1.3M,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Action,Adventure,Fantasy","Mark Hamill,Harrison Ford,Carrie Fisher,Mark Hamill,Harrison Ford,Carrie Fisher"
Inception,2h 28m,2010,8.8,2.4M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","Action,Adventure,Sci-Fi","Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page"
The Lord of the Rings: The Two Towers,2h 59m,2002,8.8,1.7M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Action,Adventure,Drama","J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Elijah Wood,Ian McKellen,Viggo Mortensen,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Elijah Wood,Ian McKellen,Viggo Mortensen"
Fight Club,2h 19m,1999,8.8,2.2M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Drama,"Brad Pitt,Edward Norton,Meat Loaf,Brad Pitt,Edward Norton,Meat Loaf"
Forrest Gump,2h 22m,1994,8.8,2.1M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Drama,Romance","Tom Hanks,Robin Wright,Gary Sinise,Tom Hanks,Robin Wright,Gary Sinise"
"The Good, the Bad and the Ugly",2h 58m,1966,8.8,773K,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Adventure,Western","Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,Clint Eastwood,Eli Wallach,Lee Van Cleef,Luciano Vincenzoni,Sergio Leone,Agenore Incrocci,Clint Eastwood,Eli Wallach,Lee Van Cleef"
The Lord of the Rings: The Fellowship of the Ring,2h 58m,2001,8.8,1.9M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Action,Adventure,Drama","J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Elijah Wood,Ian McKellen,Orlando Bloom,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Elijah Wood,Ian McKellen,Orlando Bloom"
Pulp Fiction,2h 34m,1994,8.9,2.1M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime,Drama","John Travolta,Uma Thurman,Samuel L. Jackson,John Travolta,Uma Thurman,Samuel L. Jackson"
The Lord of the Rings: The Return of the King,3h 21m,2003,9.0,1.9M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Action,Adventure,Drama","J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Elijah Wood,Viggo Mortensen,Ian McKellen,J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Elijah Wood,Viggo Mortensen,Ian McKellen"
Schindler's List,3h 15m,1993,9.0,1.4M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography,Drama,History","Liam Neeson,Ralph Fiennes,Ben Kingsley,Liam Neeson,Ralph Fiennes,Ben Kingsley"
12 Angry Men,1h 36m,1957,9.0,807K,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Crime,Drama","Henry Fonda,Lee J. Cobb,Martin Balsam,Henry Fonda,Lee J. Cobb,Martin Balsam"
The Godfather Part II,3h 22m,1974,9.0,1.3M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime,Drama","Al Pacino,Robert De Niro,Robert Duvall,Al Pacino,Robert De Niro,Robert Duvall"
The Dark Knight,2h 32m,2008,9.0,2.7M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action,Crime,Drama","Jonathan Nolan,Christopher Nolan,David S. Goyer,Christian Bale,Heath Ledger,Aaron Eckhart,Jonathan Nolan,Christopher Nolan,David S. Goyer,Christian Bale,Heath Ledger,Aaron Eckhart"
The Godfather,2h 55m,1972,9.2,1.9M,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"Crime,Drama","Marlon Brando,Al Pacino,James Caan,Marlon Brando,Al Pacino,James Caan"
titre_original,durée,date,score,nbr_votants,desciption,genre,acteurs
The Shawshank Redemption,2h 22m,1994,9.3,2.7M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Drama,"Tim Robbins,Morgan Freeman,Bob Gunton,Tim Robbins,Morgan Freeman,Bob Gunton"
Interstellar,2h 49m,2014,8.6,1.9M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Adventure,Drama,Sci-Fi","Matthew McConaughey,Anne Hathaway,Jessica Chastain,Matthew McConaughey,Anne Hathaway,Jessica Chastain"
City of God,2h 10m,2002,8.6,767K,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Crime,Drama","Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele"
Saving Private Ryan,2h 49m,1998,8.6,1.4M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","Drama,War","Tom Hanks,Matt Damon,Tom Sizemore,Tom Hanks,Matt Damon,Tom Sizemore"
Dances with Wolves,3h 1m,1990,8.0,274K,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","Adventure,Drama,Western","Kevin Costner,Mary McDonnell,Graham Greene,Kevin Costner,Mary McDonnell,Graham Greene"
Dersu Uzala,2h 22m,1975,8.2,32K,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,"Adventure,Biography,Drama","Maksim Munzuk,Yuriy Solomin,Mikhail Bychkov,Maksim Munzuk,Yuriy Solomin,Mikhail Bychkov"
Aladdin,1h 30m,1992,8.0,433K,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Animation,Adventure,Comedy","Ron Clements,John Musker,Ted Elliott,Scott Weinger,Robin Williams,Linda Larkin,Ron Clements,John Musker,Ted Elliott,Scott Weinger,Robin Williams,Linda Larkin"
The Help,2h 26m,2011,8.1,470K,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Drama,"Viola Davis,Emma Stone,Octavia Spencer,Viola Davis,Emma Stone,Octavia Spencer"
The Iron Giant,1h 26m,1999,8.1,207K,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Animation,Action,Adventure","Tim McCanlies,Brad Bird,Ted Hughes,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Tim McCanlies,Brad Bird,Ted Hughes,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston"
Life of Brian,1h 34m,1979,8.0,407K,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy,"Graham Chapman,John Cleese,Terry Gilliam,Graham Chapman,John Cleese,Michael Palin,Graham Chapman,John Cleese,Terry Gilliam,Graham Chapman,John Cleese,Michael Palin"
Persona,1h 23m,1966,8.1,123K,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Drama,Thriller","Bibi Andersson,Liv Ullmann,Margaretha Krook,Bibi Andersson,Liv Ullmann,Margaretha Krook"
It Happened One Night,1h 45m,1934,8.1,107K,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.","Comedy,Romance","Clark Gable,Claudette Colbert,Walter Connolly,Clark Gable,Claudette Colbert,Walter Connolly"
The 400 Blows,1h 39m,1959,8.1,121K,"A young boy, left without attention, delves into a life of petty crime.","Crime,Drama","Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Jean-Pierre Léaud,Albert Rémy,Claire Maurier"
The Sound of Music,2h 52m,1965,8.1,243K,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Biography,Drama,Family","Georg Hurdalek,Howard Lindsay,Russel Crouse,Julie Andrews,Christopher Plummer,Eleanor Parker,Georg Hurdalek,Howard Lindsay,Russel Crouse,Julie Andrews,Christopher Plummer,Eleanor Parker"
The Handmaiden,2h 25m,2016,8.1,155K,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Drama,Romance,Thriller","Kim Min-hee,Ha Jung-woo,Cho Jin-woong,Kim Min-hee,Ha Jung-woo,Cho Jin-woong"
Cool Hand Luke,2h 7m,1967,8.1,181K,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime,Drama","Paul Newman,George Kennedy,Strother Martin,Paul Newman,George Kennedy,Strother Martin"
Rebecca,2h 10m,1940,8.1,140K,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Drama,Film-Noir,Mystery","Daphne Du Maurier,Robert E. Sherwood,Joan Harrison,Laurence Olivier,Joan Fontaine,George Sanders,Daphne Du Maurier,Robert E. Sherwood,Joan Harrison,Laurence Olivier,Joan Fontaine,George Sanders"
Amores Perros,2h 34m,2000,8.1,245K,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Drama,Thriller","Emilio Echevarría,Gael García Bernal,Goya Toledo,Emilio Echevarría,Gael García Bernal,Goya Toledo"
My Father and My Son,1h 52m,2005,8.2,88K,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Drama,Family","Çetin Tekindor,Fikret Kuskan,Hümeyra,Çetin Tekindor,Fikret Kuskan,Hümeyra"
Jai Bhim,2h 44m,2021,8.8,206K,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Crime,Drama,Mystery","Suriya,Lijo Mol Jose,Manikandan K.,Suriya,Lijo Mol Jose,Manikandan K."
The Grapes of Wrath,2h 9m,1940,8.1,96K,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",Drama,"Henry Fonda,Jane Darwell,John Carradine,Henry Fonda,Jane Darwell,John Carradine"
The Battle of Algiers,2h 1m,1966,8.1,62K,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Drama,War","Brahim Hadjadj,Jean Martin,Yacef Saadi,Brahim Hadjadj,Jean Martin,Yacef Saadi"
Hachi: A Dog's Tale,1h 33m,2009,8.1,293K,A college professor bonds with an abandoned dog he takes into his home.,"Biography,Drama,Family","Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa"
Pather Panchali,2h 5m,1955,8.2,35K,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Drama,"Kanu Bannerjee,Karuna Bannerjee,Subir Banerjee,Kanu Bannerjee,Karuna Bannerjee,Subir Banerjee"
Pirates of the Caribbean: The Curse of the Black Pearl,2h 23m,2003,8.1,1.1M,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Action,Adventure,Fantasy","Ted Elliott,Terry Rossio,Stuart Beattie,Johnny Depp,Geoffrey Rush,Orlando Bloom,Ted Elliott,Terry Rossio,Stuart Beattie,Johnny Depp,Geoffrey Rush,Orlando Bloom"
La haine,1h 38m,1995,8.1,180K,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime,Drama","Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui"
To Be or Not to Be,1h 39m,1942,8.2,39K,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","Comedy,Romance,War","Carole Lombard,Jack Benny,Robert Stack,Carole Lombard,Jack Benny,Robert Stack"
The Incredibles,1h 55m,2004,8.0,756K,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","Animation,Action,Adventure","Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Craig T. Nelson,Samuel L. Jackson,Holly Hunter"
Groundhog Day,1h 41m,1993,8.0,647K,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.","Comedy,Drama,Fantasy","Bill Murray,Andie MacDowell,Chris Elliott,Bill Murray,Andie MacDowell,Chris Elliott"
The Exorcist,2h 2m,1973,8.1,418K,"When a 12 year old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",Horror,"Ellen Burstyn,Max von Sydow,Linda Blair,Ellen Burstyn,Max von Sydow,Linda Blair"
The Best Years of Our Lives,2h 50m,1946,8.1,67K,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.","Drama,Romance,War","Myrna Loy,Dana Andrews,Fredric March,Myrna Loy,Dana Andrews,Fredric March"
The Wizard of Oz,1h 42m,1939,8.1,408K,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Adventure,Family,Fantasy","Victor Fleming,George Cukor,Mervyn LeRoy,Noel Langley,Florence Ryerson,Edgar Allan Woolf,Judy Garland,Frank Morgan,Ray Bolger,Victor Fleming,George Cukor,Mervyn LeRoy,Noel Langley,Florence Ryerson,Edgar Allan Woolf,Judy Garland,Frank Morgan,Ray Bolger"
Into the Wild,2h 28m,2007,8.1,633K,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","Adventure,Biography,Drama","Emile Hirsch,Vince Vaughn,Catherine Keener,Emile Hirsch,Vince Vaughn,Catherine Keener"
Before Sunset,1h 20m,2004,8.1,272K,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama,Romance","Richard Linklater,Julie Delpy,Ethan Hawke,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Richard Linklater,Julie Delpy,Ethan Hawke,Ethan Hawke,Julie Delpy,Vernon Dobtcheff"
Network,2h 1m,1976,8.1,163K,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Drama,"Faye Dunaway,William Holden,Peter Finch,Faye Dunaway,William Holden,Peter Finch"
Rush,2h 3m,2013,8.1,489K,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Action,Biography,Drama","Daniel Brühl,Chris Hemsworth,Olivia Wilde,Daniel Brühl,Chris Hemsworth,Olivia Wilde"
Stand by Me,1h 29m,1986,8.1,414K,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.","Adventure,Drama","Wil Wheaton,River Phoenix,Corey Feldman,Wil Wheaton,River Phoenix,Corey Feldman"
The Terminator,1h 47m,1984,8.1,881K,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.","Action,Sci-Fi","Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn"
Logan,2h 17m,2017,8.1,782K,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Action,Drama,Sci-Fi","James Mangold,Scott Frank,Michael Green,Hugh Jackman,Patrick Stewart,Dafne Keen,James Mangold,Scott Frank,Michael Green,Hugh Jackman,Patrick Stewart,Dafne Keen"
Spotlight,2h 9m,2015,8.1,480K,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Biography,Crime,Drama","Mark Ruffalo,Michael Keaton,Rachel McAdams,Mark Ruffalo,Michael Keaton,Rachel McAdams"
Ratatouille,1h 51m,2007,8.1,760K,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Animation,Adventure,Comedy","Brad Bird,Jan Pinkava,Jim Capobianco,Brad Garrett,Lou Romano,Patton Oswalt,Brad Bird,Jan Pinkava,Jim Capobianco,Brad Garrett,Lou Romano,Patton Oswalt"
