acteurs,date,desciption,durée,genre,nbr_eposodes,nbr_saison,nbr_votants,score,titre_original
"Dave Chappelle,Donnell Rawlings,Rudy Rush",2003–2006,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,22,"Comedy,Music",33,3 seasons,67K,8.8,Chappelle's Show
"Doc Harris,Christopher Sabat,Scott McNeil",1989–1996,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",24,"Animation,Action,Adventure",277,16 seasons,136K,8.8,Dragon Ball Z
"Carlo Bernard,Chris Brancato,Doug Miro",2015–2017,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",49,"Biography,Crime,Drama",30,3 seasons,438K,8.8,Narcos
"Daniel Lapaine,Hannah John-Kamen,Michaela Coel",2011–2019,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",60,"Drama,Mystery,Sci-Fi",23,6 seasons,567K,8.8,Black Mirror
"Will Arnett,Amy Sedaris,Alison Brie",2014–2020,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",25,"Animation,Comedy,Drama",77,6 seasons,167K,8.8,BoJack Horseman
"Kyle MacLachlan,Michael Ontkean,Mädchen Amick",1990–1991,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,47,"Crime,Drama,Mystery",30,2 seasons,203K,8.8,Twin Peaks
"Rowan Atkinson,Tony Robinson,Stephen Fry",1989,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",175,"Comedy,War",6,,54K,8.8,Blackadder Goes Forth
"Linda Cardellini,John Francis Daley,James Franco",1999–2000,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,44,"Comedy,Drama",18,2 years,146K,8.8,Freaks and Geeks
"Colin Firth,Jennifer Ehle,Susannah Harker",1995,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",327,"Drama,Romance",6,,87K,8.8,Pride and Prejudice
"Nicholas Braun,Brian Cox,Kieran Culkin",2018–2023,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",60,"Comedy,Drama",39,4 seasons,175K,8.8,Succession
"John Cleese,Prunella Scales,Andrew Sachs",1975–1979,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",30,Comedy,12,2 seasons,96K,8.8,Fawlty Towers
"Ali Atay,Ahmet Mümtaz Taylan,Cengiz Bozkurt",2011–2023,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",80,"Adventure,Comedy,Drama",144,7 seasons,95K,9.1,Leyla and Mecnun
"Larry David,Cheryl Hines,Jeff Garlin",2000– ,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,28,Comedy,111,12 seasons,133K,8.8,Curb Your Enthusiasm
"Martin Sheen,Rob Lowe,Allison Janney",1999–2006,Inside the lives of staffers in the West Wing of the White House.,44,Drama,155,7 seasons,80K,8.9,The West Wing
"Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",1985,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,293,"Drama,War",6,2 years,31K,8.8,Das Boot
"Pedro Pascal,Bella Ramsey,Anna Torv",2023– ,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",50,"Action,Adventure,Drama",10,2 seasons,384K,8.9,The Last of Us
"Greg Davies,Alex Horne,Kerry Godliman",2015– ,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.",47,"Comedy,Game-Show",139,15 seasons,15K,9.0,Taskmaster
"Graham Chapman,Eric Idle,Terry Jones",1969–1974,The original surreal sketch comedy showcase for the Monty Python troupe.,30,Comedy,45,4 seasons,76K,8.8,Monty Python's Flying Circus
"Charlie Day,Rob McElhenney,Kaitlin Olson",2005– ,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,22,Comedy,165,18 seasons,233K,8.8,It's Always Sunny in Philadelphia
"Naveen Kasturia,Arunabh Kumar,Abhay Mahajan",2015–2022,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,40,"Comedy,Drama",10,2 seasons,70K,9.1,TVF Pitchers
"David Attenborough,Simon Blakeney,Mark Deeble",2013,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.",360,Documentary,7,,16K,8.9,Africa
,2009,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.",312,"Documentary,History,War",6,,13K,9.0,Apocalypse: The Second World War
"Jennifer Aniston,Courteney Cox,Lisa Kudrow",1994–2004,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,22,"Comedy,Romance",234,10 seasons,1M,8.9,Friends
"John Oliver,David Kaye,Ryan Barger",2014– ,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,30,"Comedy,News,Talk-Show",328,10 seasons,91K,8.9,Last Week Tonight with John Oliver
"Asante Blackk,Caleel Harris,Ethan Herisse",2019,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,296,"Biography,Crime,Drama",4,,127K,8.9,When They See Us
"Jason Ritter,Alex Hirsch,Kristen Schaal",2012–2016,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",23,"Animation,Adventure,Comedy",40,2 seasons,117K,8.9,Gravity Falls
"Nathan Fielder,Anthony Filosa,Salomon Flores",2013–2017,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",30,"Documentary,Comedy",32,4 seasons,33K,8.9,Nathan for You
"Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara",1998–1999,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,24,"Animation,Action,Adventure",26,2 years,126K,8.9,Cowboy Bebop
"Billy Bob Thornton,Martin Freeman,Allison Tolman",2014–2023,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",53,"Crime,Drama,Thriller",51,5 seasons,381K,8.9,Fargo
,2021,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',468,"Documentary,Biography,Music",3,,25K,9.0,The Beatles: Get Back
"Haluk Bilginer,Cansu Dere,Metin Akdülger",2018,A man diagnosed with Alzheimer's decides to punish criminals.,65,"Crime,Drama,Mystery",12,2 years,43K,9.0,Persona
"Artur Barcis,Olgierd Lukaszewicz,Olaf Lubaszenko",1989–1990,"Ten television drama films, each one based on one of the Ten Commandments.",572,Drama,10,2 years,26K,9.0,Dekalog
"David McCullough,Sam Waterston,Julie Harris",1990,A comprehensive survey of the American Civil War.,680,"Documentary,History,War",9,,17K,9.1,The Civil War
"David Jason,Nicholas Lyndhurst,Roger Lloyd Pack",1981–2003,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,95,Comedy,64,9 seasons,54K,9.0,Only Fools and Horses
"Jeremy Clarkson,Kaleb Cooper,Charlie Ireland",2021– ,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,45,"Documentary,Comedy,Reality-TV",17,3 seasons,47K,9.0,Clarkson's Farm
"Mamoru Miyano,Brad Swaile,Vincent Tong",2006–2007,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,23,"Animation,Crime,Drama",37,2 years,339K,9.0,Death Note
"Bob Odenkirk,Rhea Seehorn,Jonathan Banks",2015–2022,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,46,"Crime,Drama",63,6 seasons,565K,8.9,Better Call Saul
"David Attenborough,Alec Baldwin,Chadden Hunter",2011–2012,Focuses on life and the environment in both the Arctic and Antarctic.,333,Documentary,10,,31K,9.0,Frozen Planet
"Nathan Fillion,Gina Torres,Alan Tudyk",2002–2003,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",44,"Adventure,Drama,Sci-Fi",14,2 years,271K,9.0,Firefly
,2011,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,50,Documentary,8,,27K,9.0,Human Planet
"Steve Carell,Jenna Fischer,John Krasinski",2005–2013,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",22,Comedy,188,9 seasons,633K,9.0,The Office
,2001,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",389,Documentary,8,2 years,41K,9.0,The Blue Planet
"Hailee Steinfeld,Kevin Alejandro,Jason Spisak",2021– ,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.",41,"Animation,Action,Adventure",10,2 seasons,224K,9.0,Arcane
"Josh Grelle,Bryce Papenbrook,Yûki Kaji",2013–2023,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",24,"Animation,Action,Adventure",98,4 seasons,405K,9.0,Attack on Titan
"Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher",2020,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",54,"Biography,Crime,Drama",10,,147K,9.3,Scam 1992: The Harshad Mehta Story
"Bob Kane,Eric Radomski,Bruce Timm",1992–1995,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,23,"Animation,Action,Adventure",85,4 seasons,108K,9.0,Batman: The Animated Series
"Peter Coyote,Huy Duc,James Willbanks",2017,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,990,"Documentary,History,War",10,,26K,9.1,The Vietnam War
"David McCormack,Melanie Zanetti,Rico Romaniuk",2018– ,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,7,"Animation,Family",169,3 seasons,15K,9.5,Bluey
"Benedict Cumberbatch,Martin Freeman,Una Stubbs",2010–2017,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,88,"Crime,Drama,Mystery",15,4 seasons,946K,9.1,Sherlock
"Rod Serling,Robert McCord,Jay Overholts",1959–1964,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",51,"Drama,Fantasy,Horror",156,5 seasons,87K,9.1,The Twilight Zone
"Oprah Winfrey,David Attenborough,Doug Allan",2009,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,473,Documentary,11,,42K,9.1,Life
"Michael Jordan,Phil Jackson,Scottie Pippen",2020,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",491,"Documentary,Biography,History",10,,132K,9.1,The Last Dance
"Kent Williams,Iemasa Kayumi,Matthew Leonhart",2009–2010,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,24,"Animation,Action,Adventure",68,2 years,177K,9.1,Fullmetal Alchemist: Brotherhood
"Justin Roiland,Chris Parnell,Spencer Grammer",2013– ,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,23,"Animation,Adventure,Comedy",61,6 seasons,547K,9.1,Rick and Morty
"Laurence Olivier,Averell Harriman,Albert Speer",1973–1974,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",52,"Documentary,History,War",26,2 years,27K,9.2,The World at War
"Emilia Clarke,Peter Dinklage,Kit Harington",2011–2019,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",57,"Action,Adventure,Drama",73,8 seasons,2.2M,9.2,Game of Thrones
,2019,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",403,Documentary,8,,46K,9.3,Our Planet
"Carl Sagan,Jaromír Hanzlík,Jonathan Fahn",1980,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,780,Documentary,13,,42K,9.3,Cosmos
"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley",2014,An exploration of our discovery of the laws of nature and coordinates in space and time.,557,Documentary,13,,124K,9.3,Cosmos: A Spacetime Odyssey
"James Gandolfini,Lorraine Bracco,Edie Falco",1999–2007,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",55,"Crime,Drama",86,6 seasons,419K,9.2,The Sopranos
"David Attenborough,Peter Drost,Roger Munns",2017,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",364,Documentary,7,2 years,43K,9.3,Blue Planet II
"Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman",2005–2008,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",23,"Animation,Action,Adventure",62,3 seasons,328K,9.3,Avatar: The Last Airbender
"Dominic West,Lance Reddick,Sonja Sohn",2002–2008,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",59,"Crime,Drama,Thriller",60,5 seasons,350K,9.3,The Wire
"Jessie Buckley,Jared Harris,Stellan Skarsgård",2019,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",330,"Drama,History,Thriller",5,,790K,9.4,Chernobyl
"Scott Grimes,Damian Lewis,Ron Livingston",2001,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",594,"Drama,History,War",10,,481K,9.4,Band of Brothers
"Sigourney Weaver,David Attenborough,Nikolay Drozdov",2006,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.",538,Documentary,11,,213K,9.4,Planet Earth
"Bryan Cranston,Aaron Paul,Anna Gunn",2008–2013,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,49,"Crime,Drama,Thriller",62,5 seasons,2M,9.5,Breaking Bad
ts history.","Documentary,Biography,History","Michael Jordan,Phil Jackson,Scottie Pippen",10,
Fullmetal Alchemist: Brotherhood,24,2009–2010,9.1,177K,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,"Animation,Action,Adventure","Kent Williams,Iemasa Kayumi,Matthew Leonhart",68,2 years
Rick and Morty,23,2013– ,9.1,547K,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Animation,Adventure,Comedy","Justin Roiland,Chris Parnell,Spencer Grammer",61,6 seasons
The World at War,52,1973–1974,9.2,27K,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.","Documentary,History,War","Laurence Olivier,Averell Harriman,Albert Speer",26,2 years
Game of Thrones,57,2011–2019,9.2,2.2M,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Action,Adventure,Drama","Emilia Clarke,Peter Dinklage,Kit Harington",73,8 seasons
Our Planet,403,2019,9.3,46K,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",Documentary,,8,
Cosmos,780,1980,9.3,42K,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,Documentary,"Carl Sagan,Jaromír Hanzlík,Jonathan Fahn",13,
Cosmos: A Spacetime Odyssey,557,2014,9.3,124K,An exploration of our discovery of the laws of nature and coordinates in space and time.,Documentary,"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley",13,
The Sopranos,55,1999–2007,9.2,419K,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","Crime,Drama","James Gandolfini,Lorraine Bracco,Edie Falco",86,6 seasons
Blue Planet II,364,2017,9.3,43K,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",Documentary,"David Attenborough,Peter Drost,Roger Munns",7,2 years
Avatar: The Last Airbender,23,2005–2008,9.3,328K,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Animation,Action,Adventure","Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman",62,3 seasons
The Wire,59,2002–2008,9.3,350K,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Crime,Drama,Thriller","Dominic West,Lance Reddick,Sonja Sohn",60,5 seasons
Chernobyl,330,2019,9.4,790K,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Drama,History,Thriller","Jessie Buckley,Jared Harris,Stellan Skarsgård",5,
Band of Brothers,594,2001,9.4,481K,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.","Drama,History,War","Scott Grimes,Damian Lewis,Ron Livingston",10,
Planet Earth,538,2006,9.4,213K,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.",Documentary,"Sigourney Weaver,David Attenborough,Nikolay Drozdov",11,
Breaking Bad,49,2008–2013,9.5,2M,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,"Crime,Drama,Thriller","Bryan Cranston,Aaron Paul,Anna Gunn",62,5 seasons
titre_original,durée,date,score,nbr_votants,desciption,genre,acteurs,nbr_eposodes,nbr_saison
The Shawshank Redemption,142,1994,9.3,2.7M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Drama,"Tim Robbins,Morgan Freeman,Bob Gunton",,
The Prestige,130,2006,8.5,1.4M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","Drama,Mystery,Sci-Fi","Christian Bale,Hugh Jackman,Scarlett Johansson",,
Whiplash,106,2014,8.5,895K,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Drama,Music","Miles Teller,J.K. Simmons,Melissa Benoist",,
The Departed,151,2006,8.5,1.3M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Crime,Drama,Thriller","Leonardo DiCaprio,Matt Damon,Jack Nicholson",,
Dances with Wolves,181,1990,8.0,275K,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","Adventure,Drama,Western","Kevin Costner,Mary McDonnell,Graham Greene",,
Dersu Uzala,142,1975,8.2,32K,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,"Adventure,Biography,Drama","Maksim Munzuk,Yuriy Solomin,Mikhail Bychkov",,
Aladdin,90,1992,8.0,433K,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Animation,Adventure,Comedy","Ron Clements,John Musker,Ted Elliott",,
The Help,146,2011,8.1,470K,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Drama,"Viola Davis,Emma Stone,Octavia Spencer",,
The Iron Giant,86,1999,8.1,207K,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Animation,Action,Adventure","Tim McCanlies,Brad Bird,Ted Hughes",,
Life of Brian,94,1979,8.0,407K,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy,"Graham Chapman,John Cleese,Terry Gilliam",,
Persona,83,1966,8.1,123K,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Drama,Thriller","Bibi Andersson,Liv Ullmann,Margaretha Krook",,
It Happened One Night,105,1934,8.1,107K,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.","Comedy,Romance","Clark Gable,Claudette Colbert,Walter Connolly",,
The 400 Blows,99,1959,8.1,121K,"A young boy, left without attention, delves into a life of petty crime.","Crime,Drama","Jean-Pierre Léaud,Albert Rémy,Claire Maurier",,
The Sound of Music,172,1965,8.1,243K,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Biography,Drama,Family","Georg Hurdalek,Howard Lindsay,Russel Crouse",,
Cool Hand Luke,127,1967,8.1,181K,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime,Drama","Paul Newman,George Kennedy,Strother Martin",,
The Handmaiden,145,2016,8.1,155K,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Drama,Romance,Thriller","Kim Min-hee,Ha Jung-woo,Cho Jin-woong",,
Rebecca,130,1940,8.1,140K,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Drama,Film-Noir,Mystery","Daphne Du Maurier,Robert E. Sherwood,Joan Harrison",,
Amores Perros,154,2000,8.1,245K,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Drama,Thriller","Emilio Echevarría,Gael García Bernal,Goya Toledo",,
My Father and My Son,112,2005,8.2,88K,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Drama,Family","Çetin Tekindor,Fikret Kuskan,Hümeyra",,
Jai Bhim,164,2021,8.8,206K,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Crime,Drama,Mystery","Suriya,Lijo Mol Jose,Manikandan K.",,
The Grapes of Wrath,129,1940,8.1,96K,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",Drama,"Henry Fonda,Jane Darwell,John Carradine",,
Hachi: A Dog's Tale,93,2009,8.1,293K,A college professor bonds with an abandoned dog he takes into his home.,"Biography,Drama,Family","Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa",,
The Battle of Algiers,121,1966,8.1,62K,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Drama,War","Brahim Hadjadj,Jean Martin,Yacef Saadi",,
Pather Panchali,125,1955,8.2,35K,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Drama,"Kanu Bannerjee,Karuna Bannerjee,Subir Banerjee",,
Pirates of the Caribbean: The Curse of the Black Pearl,143,2003,8.1,1.1M,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Action,Adventure,Fantasy","Ted Elliott,Terry Rossio,Stuart Beattie",,
La haine,98,1995,8.1,180K,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime,Drama","Vincent Cassel,Hubert Koundé,Saïd Taghmaoui",,
To Be or Not to Be,99,1942,8.2,39K,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","Comedy,Romance,War","Carole Lombard,Jack Benny,Robert Stack",,
The Incredibles,115,2004,8.0,756K,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","Animation,Action,Adventure","Craig T. Nelson,Samuel L. Jackson,Holly Hunter",,
Groundhog Day,101,1993,8.0,647K,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.","Comedy,Drama,Fantasy","Bill Murray,Andie MacDowell,Chris Elliott",,
The Exorcist,122,1973,8.1,418K,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",Horror,"Ellen Burstyn,Max von Sydow,Linda Blair",,
The Best Years of Our Lives,170,1946,8.1,67K,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.","Drama,Romance,War","Myrna Loy,Dana Andrews,Fredric March",,
The Wizard of Oz,102,1939,8.1,408K,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.","Adventure,Family,Fantasy","Victor Fleming,George Cukor,Mervyn LeRoy",,
Into the Wild,148,2007,8.1,633K,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","Adventure,Biography,Drama","Emile Hirsch,Vince Vaughn,Catherine Keener",,
Before Sunset,80,2004,8.1,272K,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama,Romance","Richard Linklater,Julie Delpy,Ethan Hawke",,
Network,121,1976,8.1,163K,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Drama,"Faye Dunaway,William Holden,Peter Finch",,
Rush,123,2013,8.1,489K,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Action,Biography,Drama","Daniel Brühl,Chris Hemsworth,Olivia Wilde",,
Stand by Me,89,1986,8.1,415K,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.","Adventure,Drama","Wil Wheaton,River Phoenix,Corey Feldman",,
The Terminator,107,1984,8.1,881K,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.","Action,Sci-Fi","Arnold Schwarzenegger,Linda Hamilton,Michael Biehn",,
Logan,137,2017,8.1,782K,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","Action,Drama,Sci-Fi","James Mangold,Scott Frank,Michael Green",,
Spotlight,129,2015,8.1,480K,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Biography,Crime,Drama","Mark Ruffalo,Michael Keaton,Rachel McAdams",,
Ratatouille,111,2007,8.1,760K,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Animation,Adventure,Comedy","Brad Bird,Jan Pinkava,Jim Capobianco",,
Platoon,120,1986,8.1,422K,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Drama,War","Charlie Sheen,Tom Berenger,Willem Dafoe",,
